Order,Family,Species_name,Weight,No_of_datasets,Ln,Pn,Pin,Ls,Ps,pnps,diversity,Pis,log_Pis,L4,P4,Pi4,Range,log_Range,migrant,longevity,log_Longevity,Body_mass,log_Bodymass,BMR,log_BMR,Range_type,No_of_ranges,Area,log_Area,Average_latitude,Latitude,log_Latitude,Latitude_migrants,Average_longitude
Passeriformes,Mimidae,Toxostoma curvirostre,4273.811033,3,840.67,4,0.000638972,275.336,42,0.093,-1.031408464,0.047817646,-1.320411807,206,29,0.045609758,2860000,6.46,nonmigrant,10.8,1.033423755,79.4,1.899820502,,,,,,,,,,,
Passeriformes,Pycnonotidae,Tricholestes criniger,3090.96,1,606,6,0.0034171,204,52,0.1132,-0.946124619,0.071674,-1.144638358,149,31,0.062716,3680000,6.57,nonmigrant,,,16.5,1.217483944,,,1,1,99.30479584,1.996970223,0.6272363,0.6272363,-0.202568816,,114.0709586
Passeriformes,Troglodytidae,Troglodytes aedon,4987.32,1,719.33,20,0.0028392,255.67,96,0.2062,-0.685741739,0.07129,-1.146971385,189,54,0.056832,59200000,7.77,migrant,9,0.954242509,11.55,1.062581984,0.19,-0.721246399,1,1,0.219726618,-0.658117329,14.6485221,14.6485221,1.165793811,,-61.02118885
Passeriformes,Troglodytidae,Troglodytes troglodytes,9030.0291,3,2215,15,0.001976825,791,125,0.119,-0.924279286,0.043309187,-1.363419969,609,80,0.037063395,55500000,7.74,migrant,7,0.84509804,9,0.954242509,0.213,-0.671620397,,,,,,,,,
Trogoniformes,Trogonidae,Trogon collaris,2356.3656,1,781,5,0.002134,251,49,0.1,-1,0.070916,-1.149255769,181,30,0.059669,16500000,7.22,nonmigrant,,,55.5,1.744292983,,,1,1,558.41462,2.74695678,-3.5351528,3.5351528,0.54840819,,-64.63154851
Trogoniformes,Trogonidae,Trogon rufus,2149.9656,1,782,4,0.0028133,250,79,0.05,-1.301029996,0.1728,-0.762456262,182,38,0.11429,14200000,7.15,nonmigrant,,,52.5,1.720159303,0.431,-0.36552273,1,1,551.6783247,2.741685921,-3.12442213,3.12442213,0.494769705,,-62.35955909
Charadriiformes,Scolopacidae,Tryngites subruficollis,3835.2825,1,710.33,9,0.00092253,234.67,20,0.4286,-0.367976785,0.0074735,-2.126475961,172,13,0.0077299,2470000,6.39,migrant,,,74.25,1.870696458,,,,,,,,,,,
Passeriformes,Turdidae,Turdus merula,6022.701,2,1274,6,0.000964485,427,39,0.15,-0.823908741,0.017535957,-1.756070528,323,24,0.013916172,32400000,7.51,migrant,21.8,1.338456494,95,1.977723605,0.74,-0.13076828,1,3,936.511187,2.97151297,46.982626,46.982626,1.671937287,,21.22201264
Passeriformes,Turdidae,Turdus migratorius,3792.7026,1,858.33,0,0,284.67,6,,,0.0053571,-2.271070247,214,3,0.0017523,30600000,7.49,migrant,17,1.230448921,76.5,1.883661435,0.761,-0.118615343,1,1,831.1851243,2.919697762,39.67289361,39.67289361,1.598493878,,-101.6560624
Passeriformes,Turdidae,Turdus philomelos,2944.989,1,778,2,0.00071408,263,16,0.1176,-0.929418926,0.02425,-1.615288257,200,4,0.011111,23300000,7.37,migrant,17.7,1.247973266,78.5,1.894869657,0.726,-0.139063379,,,,,,,,,
Passeriformes,Turdidae,Turdus torquatus,1187.241,1,252,1,0.00037793,78,5,0.1667,-0.77815125,0.009768,-2.010194349,58,3,0.0098522,13400000,7.13,migrant,9.1,0.959041392,114,2.056904851,,,,,,,,,,,
Stringiformes,Tytonidae,Tyto alba,1467.8616,1,302.33,6,0.0048197,105.67,51,0.1154,-0.937852093,0.14367,-0.842633908,75,29,0.11035,330000000,8.52,nonmigrant,34,1.531478917,321,2.506505032,1.794,0.253822439,1,3,5684.46874,3.754689883,-9.4137926,9.4137926,0.973764626,,-11.72248707
Stringiformes,Tytonidae,Tyto longimembris,2194.83,1,504.33,5,0.0015485,170.67,1,2.5,0.397940009,0.0027902,-2.554364666,132,0,0,41000000,7.61,nonmigrant,,,320,2.505149978,,,1,2,374.0806537,2.572965248,24.1633721,24.1633721,1.383157542,,108.5439586
Charadriiformes,Alcidae,Uria aalge,6519.2625,1,782.67,14,0.00017277,258.33,38,0.359,-0.444936571,0.0022522,-2.647393046,183,15,0.0010295,80700000,7.91,migrant,42.8,1.631443769,994.5,2.997604787,6.804,0.832764305,1,1,175.3726007,2.243961742,53.81778924,53.81778924,1.730925854,,-166.9073587
Charadriiformes,Alcidae,Uria lomvia,4417.10735,2,987.66,3,0.000696132,329.337,13,0.2143,-0.669006781,0.006904074,-2.160894562,246,6,0.005917489,48000000,7.68,migrant,29,1.462397998,945,2.975431809,5.069,0.704922291,,,,,,,,,
Passeriformes,Vireonidae,Vireo altiloquus,2281.0167,1,736.33,9,0.0059756,262.67,38,0.2308,-0.636822098,0.074873,-1.125674765,199,25,0.067002,3240000,6.51,migrant,,,20.8,1.318063335,,,,,,,,,,,
Passeriformes,Vireonidae,Vireo atricapilla,2944.989,1,769.67,1,0.00069294,271.33,9,0.1,-1,0.010074,-1.996798053,211,8,0.011269,601000,5.78,migrant,12,1.079181246,9,0.954242509,,,,,,,,,,,
Passeriformes,Vireonidae,Vireo hypochryseus,4244.1744,1,775.33,4,0.00030347,262.67,31,0.125,-0.903089987,0.033395,-1.476318552,198,16,0.026693,649000,5.81,nonmigrant,,,11.3,1.053078443,,,,,,,,,,,
